index_time,sectionID,time stamp,delay,density,flow,speed,travel time,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,p11,p12,p13,p14,p15,p16
2,1190,3000,1171.65,199.24,30,0.52,1182.38,67,5,15,3,2,85,2,1,2,21,28,39,86,2,1,1
3,1190,4000,1714.63,197.21,36,0.36,1726.06,67,5,15,3,2,85,2,1,2,21,28,39,86,2,1,1
4,1190,5000,2355.27,198.54,36,0.26,2366.21,67,5,15,3,2,85,2,1,2,21,28,39,86,2,1,1
5,1190,10000,2779.18,198.6,24,0.22,2790.59,67,5,15,3,2,85,2,1,2,21,28,39,86,2,1,1
0,1190,1000,55.66,90.81,216,21.79,67.14,67,4,16,3,2,85,2,1,2,21,28,39,86,2,1,1
1,1190,2000,735.02,171.98,66,0.88,746.18,67,4,16,3,2,85,2,1,2,21,28,39,86,2,1,1
2,1190,3000,1171.65,199.24,30,0.52,1182.38,67,4,16,3,2,85,2,1,2,21,28,39,86,2,1,1
3,1190,4000,1714.63,197.21,36,0.36,1726.06,67,4,16,3,2,85,2,1,2,21,28,39,86,2,1,1
4,1190,5000,2355.27,198.54,36,0.26,2366.21,67,4,16,3,2,85,2,1,2,21,28,39,86,2,1,1
5,1190,10000,2779.18,198.6,24,0.22,2790.59,67,4,16,3,2,85,2,1,2,21,28,39,86,2,1,1
0,1190,1000,55.66,90.81,216,21.79,67.14,67,4,16,3,2,86,2,0,2,21,28,39,86,2,1,1
1,1190,2000,735.02,171.98,66,0.88,746.18,67,4,16,3,2,86,2,0,2,21,28,39,86,2,1,1
2,1190,3000,1171.65,199.24,30,0.52,1182.38,67,4,16,3,2,86,2,0,2,21,28,39,86,2,1,1
3,1190,4000,1714.63,197.21,36,0.36,1726.06,67,4,16,3,2,86,2,0,2,21,28,39,86,2,1,1
4,1190,5000,2355.27,198.54,36,0.26,2366.21,67,4,16,3,2,86,2,0,2,21,28,39,86,2,1,1
